We are confusing regulation with policy. ||| Anyị na-ewehie ndozi dịka iwu
There was a determination on this USSD, even before the appointment of the Minister, he stated. ||| E nwere mkpebi na USSD a , ọbụladị tutu etinye Mịnịsta a n'ọrụ, ka o kwuru
It is not about the good boy, but this is commercial and the normal things have been done. ||| ọ bụghị maka ezigbo nwata nwoke maka ihea bụ azụmahịa ma ihe kwesiri ka e mere.
Operators did not come up overnight to charge four Naira. ||| Ndị ọrụ abịaghị otu abalị tinye ụgwọ naịra anọ
It was robustly deliberated upon and a decision jointly taken before the legal instrument was published for implementation by all parties involved,” he explained further. ||| emere mgbagha dị ukwu maka ya ma nwee mkpebi tutu ebipụta akụrụngwa iwu maka imalite site na ndị niile nke ahụ metụtara, ka ọ kọwara gaa n'ihu
Similarly, the President of the Association of Telecommunications Companies of Nigeria (ATCON), Olusola Teniola, vehemently queried where the autonomy of the NCC lies if the ministry continues to interfere. ||| N'otu aka ahụ, Onyeisi nke Otu ndị Ụlọ ọrụ akpọmoku ekwentị nke Naịjirịa 'Association of Telecommunications Companies of Nigeria (ATCON), Olusola Teniola, jụrụ ebe ikike onwe nke NCC sitere, ma ọ bụrụ na mịnịstrị gaa n'ihu itinye aka.
Teniola stated that the Federal Government needed to allow the NCC’s independence to enforce decisions made, especially as it bothers on the development of the telecommunications industry. ||| Teniola kwuru na Gọọmentị Etiti kwesiri inye NCC ohere itinye iwu mkpebi ha mere, tụmadị ebe ọ metutara mwuli ụlọọrụ akpọmoku ekwentị
Indeed, The Guardian checks showed that there is a legal basis for the NCC’s intervention to protect telecoms service consumers (i.e.bank customers who use USSD for financial transactions). ||| N'ezie, nnyocha nke Guardian gosiri na enwere ikike iwu maka ndị NCC itinye aka ịchekwa ndị ahịa ozi telekọm (ya bụ, ndị ahịa ụlọakụ ndị na-eji USSD eme mgbazinye ego)
Earlier in his keynote address on ``Reforming the Maritime Sector in Onitsha; Priority Areas, Potential Projects and the Way Forward,’’ Mr Moghalu noted that transportation was indispensable in the World today. ||| Na gboo ọkpụrụkpụ okwu ya banyere 'Iwuli Ngalaba Ọdụ ụgbọ mmiri n'Ọnịcha; ebe dị mkpa, ọrụ dị oke mkpa na ụzọ ịga n'ihu,' Maazị Moghalu kwuru na ime njem bụ nke anapụghị ịgbanarị n'ụwa taa.
The event was held at All Saints Cathedral, Onitsha. ||| emere emume ahụ na Katidral Ndị Nsọ niile 'All Saints Cathedral' dị n' Ọnịcha.
According to him, ongoing concessionary processes to address certain issues resolved that they will continue working to complete the port project. ||| N'okwu ya, ụzọ na-aga n'ihu nke iji lebanye ọtụtụ nsogbu anya kpebiri na ha gana arụ ọrụ iji rụzu ọrụ ọdụ ụgbọ mmiri ahụ
Mr Moghalu said this while exchanging views with newsmen after a sensitisation seminar of South East zone stakeholders by NIWA. ||| Maazị Moghalu kwuru nkea mgbe ọ na-ekwu uche ya nye ndị nta akụkọ ka emechara nkuzi owuwo anya nke ndị ji ọkwa na mpaghara Ọwụwa anyanwụ Ndịda site n'aka NIWA.
